MOFID,subset,group_key
259,Dev,259
462,Dev,462
290,Dev,290
32,Dev,32
356,Dev,356
406,Dev,406
255,Dev,255
18,Dev,18
25,Dev,25
300,Dev,300
402,Dev,402
199,Dev,199
57,Dev,57
294,Dev,294
198,Dev,198
20,Dev,20
163,Dev,163
518,Dev,518
281,Dev,281
74,Dev,74
339,Dev,339
4,Dev,4
431,Dev,431
17,Dev,17
522,Dev,522
453,Dev,453
513,Dev,513
407,Dev,407
494,Dev,494
394,Dev,394
63,Dev,63
128,Dev,128
147,Dev,147
308,Dev,308
311,Dev,311
28,Dev,28
250,Dev,250
466,Dev,466
293,Dev,293
266,Dev,266
439,Dev,439
248,Dev,248
344,Dev,344
229,Dev,229
354,Dev,354
144,Dev,144
537,Dev,537
289,Dev,289
295,Dev,295
23,Dev,23
286,Dev,286
211,Dev,211
239,Dev,239
90,Dev,90
346,Dev,346
149,Dev,149
197,Dev,197
508,Dev,508
403,Dev,403
135,Dev,135
13,Dev,13
498,Dev,498
68,Dev,68
484,Dev,484
230,Dev,230
202,Dev,202
526,Dev,526
358,Dev,358
559,Dev,559
8,Dev,8
380,Dev,380
573,Dev,573
345,Dev,345
26,Dev,26
93,Dev,93
305,Dev,305
416,Dev,416
234,Dev,234
110,Dev,110
538,Dev,538
292,Dev,292
182,Dev,182
76,Dev,76
251,Dev,251
458,Dev,458
166,Dev,166
327,Dev,327
456,Dev,456
552,Dev,552
150,Dev,150
490,Dev,490
71,Dev,71
256,Dev,256
388,Dev,388
511,Dev,511
55,Dev,55
374,Dev,374
319,Dev,319
471,Dev,471
170,Dev,170
391,Dev,391
323,Dev,323
489,Dev,489
216,Dev,216
44,Dev,44
24,Dev,24
159,Dev,159
137,Dev,137
553,Dev,553
96,Dev,96
335,Dev,335
349,Dev,349
176,Dev,176
342,Dev,342
422,Dev,422
187,Dev,187
264,Dev,264
258,Dev,258
432,Dev,432
317,Dev,317
428,Dev,428
543,Dev,543
392,Dev,392
89,Dev,89
495,Dev,495
241,Dev,241
575,Dev,575
249,Dev,249
459,Dev,459
338,Dev,338
215,Dev,215
38,Dev,38
510,Dev,510
271,Dev,271
478,Dev,478
277,Dev,277
162,Dev,162
393,Dev,393
217,Dev,217
208,Dev,208
419,Dev,419
174,Dev,174
113,Dev,113
19,Dev,19
154,Dev,154
12,Dev,12
158,Dev,158
436,Dev,436
206,Dev,206
336,Dev,336
414,Dev,414
547,Dev,547
67,Dev,67
10,Dev,10
363,Dev,363
565,Dev,565
60,Dev,60
224,Dev,224
408,Dev,408
298,Dev,298
440,Dev,440
5,Dev,5
95,Dev,95
49,Dev,49
324,Dev,324
94,Dev,94
351,Dev,351
464,Dev,464
474,Dev,474
381,Dev,381
329,Dev,329
252,Dev,252
390,Dev,390
398,Dev,398
451,Dev,451
33,Dev,33
387,Dev,387
442,Dev,442
156,Dev,156
382,Dev,382
129,Dev,129
122,Dev,122
228,Dev,228
370,Dev,370
131,Dev,131
365,Dev,365
417,Dev,417
82,Dev,82
447,Dev,447
309,Dev,309
486,Dev,486
371,Dev,371
312,Dev,312
362,Dev,362
53,Dev,53
75,Dev,75
343,Dev,343
29,Dev,29
268,Dev,268
210,Dev,210
107,Dev,107
123,Dev,123
377,Dev,377
397,Dev,397
15,Dev,15
22,Dev,22
219,Dev,219
385,Dev,385
106,Dev,106
267,Dev,267
348,Dev,348
446,Dev,446
191,Dev,191
487,Dev,487
467,Dev,467
473,Dev,473
40,Dev,40
531,Dev,531
450,Dev,450
189,Dev,189
404,Dev,404
14,Dev,14
190,Dev,190
496,Dev,496
512,Dev,512
221,Dev,221
6,Dev,6
86,Dev,86
521,Dev,521
550,Dev,550
443,Dev,443
517,Dev,517
520,Dev,520
434,Dev,434
386,Dev,386
333,Lockbox,333
279,Lockbox,279
360,Lockbox,360
79,Lockbox,79
556,Lockbox,556
376,Lockbox,376
569,Lockbox,569
115,Lockbox,115
171,Lockbox,171
340,Lockbox,340
124,Lockbox,124
302,Lockbox,302
104,Lockbox,104
91,Lockbox,91
200,Lockbox,200
275,Lockbox,275
500,Lockbox,500
534,Lockbox,534
509,Lockbox,509
207,Lockbox,207
88,Lockbox,88
222,Lockbox,222
112,Lockbox,112
476,Lockbox,476
485,Lockbox,485
330,Lockbox,330
280,Lockbox,280
278,Lockbox,278
350,Lockbox,350
188,Lockbox,188
66,Lockbox,66
564,Lockbox,564
70,Lockbox,70
411,Lockbox,411
178,Lockbox,178
118,Lockbox,118
373,Lockbox,373
11,Lockbox,11
64,Lockbox,64
501,Lockbox,501
2,Lockbox,2
43,Lockbox,43
530,Lockbox,530
168,Lockbox,168
77,Lockbox,77
314,Lockbox,314
297,Lockbox,297
503,Lockbox,503
491,Lockbox,491
542,Lockbox,542
291,Lockbox,291
213,Lockbox,213
558,Lockbox,558
318,Lockbox,318
58,Lockbox,58
536,Lockbox,536
273,Lockbox,273
16,Lockbox,16
433,Lockbox,433
504,Lockbox,504
138,Lockbox,138
288,Lockbox,288
452,Lockbox,452
529,Lockbox,529
301,Lockbox,301
196,Lockbox,196
35,Lockbox,35
287,Lockbox,287
315,Lockbox,315
548,Lockbox,548
334,Lockbox,334
183,Lockbox,183
50,Lockbox,50
519,Lockbox,519
103,Lockbox,103
42,Lockbox,42
554,Lockbox,554
367,Lockbox,367
535,Lockbox,535
276,Lockbox,276
304,Lockbox,304
114,Lockbox,114
438,Lockbox,438
492,Lockbox,492
527,Lockbox,527
142,Lockbox,142
549,Lockbox,549
